angDist,#,main_id,main_type,other_types,sp_type
0.135839,1593,THA 17-48,Em*,*  |Em*|IR,Be
0.076272,1594,HD 118246,Be*,V* |UV |*  |IR |Be*,B3III
0.013636,1595,HD 118094,Be*,Be*|Be*|Em*|UV |*  |IR,B8Vne
0.032496,1596,HD 118325,Be*,Be*|Em*|*  |IR,B8III
0.041930,1597,V* CQ UMa,RotV*alf2CVn,Ae*|V* |UV |*  |IR |a2*|PM*,A2IVpSrCr
0.076380,1598,HD 118655,Be*,Be*|Em*|*  |IR,B9.5Vn
0.053509,1600,HD 119423,Be*,Be*|*  |Be*|Em*|UV |** |IR,B3Vne
0.023779,1601,HD 119682,Be*,Be*|HXB|BS*|*  |Be*|Em*|*  |X  |*iC|IR,B0Ve
0.009109,1602,HD 119835,Be*,Be*|Em*|*  |IR,B8/9II/III(n)
0.040632,1603,HD 119958,Be*,Be*|Em*|*  |IR,B8V
0.022640,1604,HD 119940,Be*,Be*|Em*|*  |IR,B8V
0.015169,1605,* mu. Cen,Be*,IR |Be*|V* |** |UV |*  |Be*|Em*,B2Vnpe
0.037688,1606,HD 120330,Be*,V* |*  |Be*|Em*|*  |IR,B2/3Vnne
0.013839,1607,HD 120417,Be*,Be*|Em*|UV |*  |IR,B9IVn
0.014590,1608,HD 120526,Be*,Be*|Em*|*  |IR,B9III(n)
0.031022,1610,HD 120958,Be*,Er*|Be*|V* |Em*|*  |UV |IR,B3Vnne
0.017124,1611,HD 120991,Be*,Be*|Be*|V* |Em*|** |X  |*  |UV |IR,B2Ve
0.021406,1612,HD 121195,Be*,Be*|Em*|*  |IR,B8IV(n)
0.026249,1613,HD 121045,Be*,Be*|Em*|*  |IR,B8/9V(n)
0.014417,1614,HD 121556,Be*,V* |Be*|V* |Em*|UV |*  |IR,B5(V)n
0.081999,1615,HD 122282,Be*,Be*|Em*|*  |IR,B5/7p_sh
0.010872,1616,HD 122450,Be*,*  |Em*|Be*|*  |IR,B1/5n
0.034100,1617,HD 122597,Be*,Be*|Em*|*  |IR,B7Vn
0.031543,1618,HD 122669,Be*,V* |*  |Be*|Em*|UV |*  |IR,O/Be
0.013333,1619,HD 122691,Be*,V* |*  |Be*|*  |IR,O/Be
0.018595,1620,HD 123042,Be*,Em*|Be*|*,B8/9IV
